x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,clase
-1.672731,1.682425,-0.778587,-4.146419,2.903648,0.589373,-1.54185,0.73492,1.595629,-1.3545,1
3.679709,-1.177378,0.504383,6.680132,-3.121093,0.277877,1.587209,-2.353625,-0.796297,1.107534,3
-0.398196,-3.504609,0.849767,4.372176,-3.535615,-1.320116,1.483593,0.937817,-2.624402,2.098993,2
-3.095948,-2.209709,-0.59511,-1.006274,-0.159471,-1.487205,0.140548,1.985631,-0.377162,-0.260734,2
1.233476,1.84023,-0.619977,-0.733459,1.632447,0.523609,-0.522048,-1.529193,1.151194,-1.383971,0
2.226687,3.320921,0.057755,-1.715,1.884233,2.048293,-0.715532,-1.88841,1.270842,-0.870305,0
3.553052,1.357496,0.59524,2.779372,-0.983413,1.090195,0.331311,-2.168236,0.210891,0.472497,0
1.655675,-1.85025,-0.855912,5.103158,-0.955877,-1.325429,1.43673,-0.975817,0.324467,-0.937855,3
-3.21911,-2.373454,0.031798,-1.021832,-0.644837,-0.847833,0.381039,2.902711,-1.195432,0.758618,2
-0.919616,-3.409697,0.847037,3.424097,-2.870447,-1.488434,1.280227,1.084481,-2.945247,1.700697,2
2.029422,0.263951,-0.301441,2.242859,-0.153526,0.131787,0.96872,-1.145651,0.333953,-0.679308,0
2.595878,-0.496714,-0.934094,4.512376,-0.616088,-0.127023,1.297104,-1.892581,0.515948,-0.793052,3
1.199356,-2.104456,-0.816199,4.706096,-0.901992,-1.740213,1.213223,-0.646047,0.15978,-0.751199,3
0.74102,3.072882,0.98696,-3.347432,0.811162,1.897949,-1.168027,-0.54409,0.216014,0.379157,0
1.148347,2.514813,-0.971897,-2.171982,3.06867,0.890147,-1.167335,-0.895505,2.234303,-1.515252,0
1.251503,2.814308,0.996792,-2.434806,1.181028,2.265926,-0.963568,-0.714347,0.083764,1.06916,0
-0.850268,2.397463,0.889864,-4.92947,1.405738,1.78882,-1.828248,0.107183,-0.628783,0.607098,1
-2.942003,-0.461353,-0.999757,-2.957649,2.258931,-0.723912,-0.420223,1.355586,0.603719,-1.235568,2
-2.193329,0.999548,-0.807659,-4.116585,2.562127,-0.452597,-1.317494,0.743664,1.55418,-1.182341,1
-0.918044,3.464251,-0.811875,-6.181931,3.977953,1.015115,-2.128739,0.164507,2.143917,-1.669788,1
-1.870647,-1.584575,-0.836197,-0.275683,0.181177,-1.208092,-0.158706,1.076088,0.078071,-0.280423,2
1.337778,1.606665,-0.41614,-0.356535,1.118241,0.675834,-0.437074,-1.211433,1.313428,-0.697043,0
-1.002836,3.698174,0.555177,-6.788117,2.595188,1.927817,-2.697753,-0.131502,1.157016,0.371868,1
-1.553074,1.731522,0.738718,-4.736802,1.273897,1.196598,-0.529747,1.184666,-0.236733,0.375707,1
-2.794679,0.791594,0.995441,-5.485731,0.579747,0.559458,-1.564081,1.712116,-1.170664,1.572805,1
0.665943,-2.963862,0.999287,5.087592,-3.824946,-0.593017,1.81843,-0.009456,-2.036577,2.073571,3
1.239402,3.788051,-0.168768,-3.867933,2.77059,1.558536,-1.85369,-1.107613,2.216785,-1.365418,0
-2.208365,-0.198039,0.622307,-2.688744,-0.224212,0.001193,-0.707293,1.341604,-0.831548,0.657036,2
-3.159333,-2.072867,-0.627464,-1.173432,0.206991,-1.416875,-0.281914,1.99649,0.111963,-0.267718,2
2.222547,0.667733,-0.733847,1.966593,0.593164,0.241398,-0.099595,-1.519663,1.004129,-0.967636,0
-2.557558,-2.050174,-0.960624,-0.585164,-0.050177,-1.885133,0.108812,1.749545,0.114066,-0.67843,2
0.957796,1.755897,-0.016569,-1.581712,1.075247,0.558574,-0.730898,-0.837267,0.516516,-0.485833,0
1.940309,0.840393,-0.464616,1.786188,0.356873,0.457458,-0.116392,-1.309502,1.270717,-1.408561,0
1.898787,-0.631687,0.046995,3.246357,-1.132414,-0.283518,1.032533,-1.252383,-0.287959,0.153865,3
3.259793,-0.71507,0.941397,5.521539,-2.828101,0.244136,1.410843,-1.874447,-1.541465,1.488972,3
1.014446,-2.639547,-0.985058,5.16335,-1.309395,-1.159585,1.771559,-0.575801,0.437942,-0.851679,3
-0.944713,2.644156,0.981366,-5.689573,1.111868,1.213144,-1.621594,0.453445,0.287957,0.825504,1
3.260587,2.296851,0.152188,1.101083,0.684962,0.703751,-0.012234,-2.146966,0.378364,0.004352,0
-0.959518,-2.188321,-0.79197,2.012673,-0.606993,-1.269634,1.271282,0.777486,0.143033,-0.702455,2
-3.201628,1.264067,0.896949,-6.491068,1.387315,0.707117,-1.569457,1.924719,-0.469931,1.005873,1
2.83076,2.727316,-0.365444,0.330182,1.462573,1.154921,-0.722637,-2.352207,1.647779,-0.865601,0
-3.956576,0.119938,-0.285449,-5.694429,2.121721,0.166,-1.274836,2.887211,0.197095,-0.710376,1
3.770547,0.82762,-0.509775,3.591887,0.234988,0.43401,0.750736,-2.535256,0.681962,-0.237479,0
1.949074,-1.248626,0.728286,4.279637,-2.562408,-0.044108,1.452594,-0.842897,-1.588539,1.339293,3
-0.220293,3.98921,0.096964,-5.446224,3.553461,2.351944,-2.185987,-0.634549,1.462371,-0.691949,1
-2.037424,-3.325819,-0.435315,2.271348,-1.86521,-1.46196,0.91718,1.540026,-1.069206,-0.291743,2
-0.794042,1.94419,0.436075,-3.681985,1.390147,0.784119,-1.512183,0.246134,0.669318,0.105029,1
-3.94655,-0.500279,-0.207985,-4.970509,1.244151,-0.504411,-1.731149,2.500236,-0.012493,0.006808,2
-3.804062,-1.149652,-0.226597,-3.02459,1.027083,-0.819926,-0.964042,3.152253,-0.179491,-0.052668,2
1.433938,3.305339,-0.797759,-2.551787,3.133453,1.235503,-1.408798,-1.67051,2.304568,-1.881463,0
2.674739,-0.517472,0.961254,3.978902,-2.509236,0.184365,1.602176,-2.068795,-1.105788,1.687205,3
0.353751,-2.221494,0.660851,2.950223,-2.79441,-0.857579,0.940452,0.032257,-1.982119,1.77499,3
3.337015,-1.333386,-0.804798,6.775038,-1.075875,-0.729582,1.393039,-2.230965,0.571686,-1.091902,3
